,institution,uoa,case_count,4*,3*,2*,1*,staff,intensity
52,arts university bournemouth,"art and design: history, practice and theory",2,0,40,40,20,12.1,18.181818181818183
53,aston university,business and management studies,6,26.7,73.3,0,0,46.3,7.056155507559396
54,aston university,"allied health professions, dentistry, nursing and pharmacy",5,55.7,38.6,5.7,0,56.8,6.161971830985916
55,aston university,modern languages and linguistics,3,60,13.3,26.7,0,18.5,18.016216216216215
56,aston university,computer science and informatics,3,40,60,0,0,18.2,18.681318681318682
57,aston university,general engineering,3,26.7,46.6,13.4,13.3,23.63,12.13288192975032
58,aston university,area studies,2,30,50,20,0,12.0,25.833333333333332
59,aston university,"electrical and electronic engineering, metallurgy and materials",2,26.7,73.3,0,0,24.0,13.612499999999999
60,bangor university,business and management studies,4,10,70,20,0,28.75,10.08695652173913
61,bangor university,"psychology, psychiatry and neuroscience",3,73.3,26.7,0,0,21.6,17.282407407407405
62,bangor university,modern languages and linguistics,3,90,10,0,0,24.8,15.725806451612902
63,bangor university,earth systems and environmental sciences,2,40,50,10,0,35.35,9.335219236209335
64,bangor university,"music, drama, dance and performing arts",2,40,60,0,0,13.65,24.90842490842491
65,bangor university,law,2,0,100,0,0,9.0,33.333333333333336
66,bangor university,"allied health professions, dentistry, nursing and pharmacy",2,20,80,0,0,12.0,26.666666666666668
67,bangor university,history,2,20,80,0,0,13.0,24.615384615384617
68,bangor university,computer science and informatics,2,0,0,40,60,10.0,14.0
69,bangor university,"electrical and electronic engineering, metallurgy and materials",2,0,20,80,0,12.6,17.460317460317462
70,bangor university,english language and literature,2,20,70,10,0,13.6,22.794117647058822
71,bangor university,chemistry,2,0,70,30,0,9.4,28.72340425531915
72,bangor university and cardiff metropolitan university,"sport and exercise sciences, leisure and tourism",3,,,,,,
73,bath spa university,english language and literature,3,0,73.3,26.7,0,21.05,12.9833729216152
74,bath spa university,history,2,0,70,30,0,6.2,43.54838709677419
75,bath spa university,"communication, cultural and media studies, library and information management",2,0,80,20,0,7.4,37.83783783783784
76,bath spa university,education,2,0,40,60,0,13.2,18.181818181818183
77,bath spa university,"music, drama, dance and performing arts",2,60,40,0,0,12.0,30.0
78,bath spa university,"art and design: history, practice and theory",2,0,30,70,0,14.17,16.231474947071277
79,birkbeck college,"psychology, psychiatry and neuroscience",4,100,0,0,0,28.35,14.109347442680775
80,birkbeck university of london,history,5,,,,,,
81,birkbeck university of london,law,4,,,,,,
82,birkbeck university of london,modern languages and linguistics,4,,,,,,
83,birkbeck university of london,business and management studies,4,,,,,,
84,birkbeck university of london,sociology,4,,,,,,
85,birkbeck university of london,english language and literature,4,,,,,,
86,birkbeck university of london,economics and econometrics,4,,,,,,
87,birkbeck university of london,computer science and informatics,3,,,,,,
88,birkbeck university of london,"art and design: history, practice and theory",3,,,,,,
89,birkbeck university of london,politics and international studies,2,,,,,,
90,birkbeck university of london,philosophy,2,,,,,,
91,birmingham city university,"art and design: history, practice and theory",4,50,50,0,0,32.13,10.893246187363834
92,birmingham city university,"music, drama, dance and performing arts",3,40,60,0,0,17.27,19.687319050376377
93,birmingham city university,"communication, cultural and media studies, library and information management",2,0,100,0,0,11.21,26.761819803746654
94,birmingham city university,business and management studies,2,50,50,0,0,4.7,74.46808510638297
95,birmingham city university,education,2,0,0,70,30,7.5,22.666666666666668
96,birmingham city university,law,2,0,60,40,0,6.0,43.333333333333336
97,birmingham city university,social work and social policy,2,0,90,10,0,7.2,40.27777777777778
98,birmingham city university,"allied health professions, dentistry, nursing and pharmacy",2,20,80,0,0,12.1,26.446280991735538
99,birmingham city university,computer science and informatics,2,40,20,0,0,7.4,29.72972972972973
100,birmingham city university,"architecture, built environment and planning",2,0,50,50,0,4.0,62.5
101,birmingham city university,english language and literature,2,40,60,0,0,12.4,27.419354838709676
102,bishop grosseteste university,education,2,0,0,40,50,6.0,21.666666666666668
103,bishop grosseteste university,history,2,-,-,-,-,3.0,0.0
104,bishop grosseteste university,english language and literature,2,-,-,-,-,2.0,0.0
105,bournemouth university,"communication, cultural and media studies, library and information management",3,63.3,23.4,13.3,0,24.8,14.112903225806452
106,bournemouth university,"geography, environmental studies and archaeology",3,10,40,50,0,29.5,8.813559322033898
107,bournemouth university,"allied health professions, dentistry, nursing and pharmacy",3,0,63.3,36.7,0,21.4,12.303738317757007
108,bournemouth university,"psychology, psychiatry and neuroscience",2,0,20,40,40,13.0,13.846153846153847
109,bournemouth university,business and management studies,2,63.3,36.7,0,0,20.5,17.721951219512196
110,bournemouth university,"art and design: history, practice and theory",2,60,40,0,0,13.8,26.08695652173913
111,bournemouth university,general engineering,2,0,73.3,26.7,0,24.8,11.020161290322578
112,bournemouth university,"sport and exercise sciences, leisure and tourism",1,40,40,20,0,14.0,22.857142857142858
113,brunel university,business and management studies,7,,,,,,
114,brunel university,"aeronautical, mechanical, chemical and manufacturing engineering",7,,,,,,
115,brunel university,general engineering,7,,,,,,
116,brunel university,"allied health professions, dentistry, nursing and pharmacy",6,,,,,,
117,brunel university,law,4,,,,,,
118,brunel university,"sport and exercise sciences, leisure and tourism",4,,,,,,
119,brunel university,computer science and informatics,4,,,,,,
120,brunel university,economics and econometrics,4,,,,,,
121,brunel university,english language and literature,3,,,,,,
122,brunel university,social work and social policy,3,,,,,,
123,brunel university,"psychology, psychiatry and neuroscience",3,,,,,,
124,brunel university,"music, drama, dance and performing arts",3,,,,,,
125,brunel university,"communication, cultural and media studies, library and information management",3,,,,,,
126,brunel university,earth systems and environmental sciences,3,,,,,,
127,brunel university,politics and international studies,3,,,,,,
128,brunel university,sociology,2,,,,,,
129,brunel university,anthropology and development studies,2,,,,,,
130,brunel university,education,2,,,,,,
131,brunel university,"art and design: history, practice and theory",2,,,,,,
132,brunel university,"public health, health services and primary care",2,,,,,,
133,brunel university,mathematical sciences,2,,,,,,
134,buckinghamshire new university,"sport and exercise sciences, leisure and tourism",2,0,10,50,0,5.0,26.0
135,buckinghamshire new university,business and management studies,2,-,-,-,-,2.33,0.0
136,buckinghamshire new university,"allied health professions, dentistry, nursing and pharmacy",2,0,20,80,0,7.1,30.985915492957748
137,buckinghamshire new university,"art and design: history, practice and theory",1,20,60,20,0,9.6,31.25
138,bucks new university,"art and design: history, practice and theory",1,,,,,,
139,cambridge university,history,1,,,,,,
140,canterbury christ church university,education,3,0,63.3,36.7,0,21.6,12.189814814814811
141,canterbury christ church university,history,2,0,50,50,0,14.0,17.857142857142858
142,canterbury christ church university,"communication, cultural and media studies, library and information management",2,0,30,70,0,14.3,16.083916083916083
143,canterbury christ church university,politics and international studies,2,0,0,80,20,14.5,12.413793103448276
144,canterbury christ church university,"agriculture, veterinary and food science",2,0,0,70,30,12.5,13.6
145,canterbury christ church university,"allied health professions, dentistry, nursing and pharmacy",2,0,90,10,0,13.9,20.863309352517984
146,canterbury christ church university,"sport and exercise sciences, leisure and tourism",2,40,60,0,0,14.8,22.972972972972972
147,canterbury christ church university,"music, drama, dance and performing arts",2,10,50,40,0,13.6,19.852941176470587
148,canterbury christ church university,theology and religious studies,2,0,80,20,0,6.0,46.666666666666664
149,canterbury christ church university,english language and literature,2,0,50,30,20,11.8,19.491525423728813
150,cardiff metropolitan university,"allied health professions, dentistry, nursing and pharmacy",2,0,50,30,20,12.0,19.166666666666668
151,cardiff university,business and management studies,8,50,50,0,0,72.6,4.820936639118457
152,cardiff university,"psychology, psychiatry and neuroscience",8,90,0,10,0,69.33,5.481032741958749
153,cardiff university,"allied health professions, dentistry, nursing and pharmacy",8,90,10,0,0,74.95,5.203468979319546
154,cardiff university,clinical medicine,7,80,20,0,0,59.01,6.439586510760888
155,cardiff university,"architecture, built environment and planning",6,20,80,0,0,27.4,11.678832116788321
156,cardiff university,"architecture, built environment and planning",6,90,10,0,0,14.8,26.35135135135135
157,cardiff university,biological sciences,5,60,40,0,0,54.7,6.581352833638025
158,cardiff university,sociology,4,80,20,0,0,29.48,12.890094979647218
159,cardiff university,mathematical sciences,3,26.7,73.3,0,0,24.05,13.584199584199583
160,cardiff university,physics,3,63.3,36.7,0,0,19.5,18.630769230769232
161,cardiff university,english language and literature,3,46.7,40,13.3,0,24.01,13.88588088296543
162,cardiff university,"public health, health services and primary care",3,63.3,10,26.7,0,24.29,13.8575545491972
163,cardiff university,law,3,80,20,0,0,22.0,17.272727272727273
164,cardiff university,education,3,60,40,0,0,20.6,17.475728155339805
165,cardiff university,"geography, environmental studies and archaeology",2,40,50,10,0,13.13,25.133282559025133
166,cardiff university,politics and international studies,2,30,70,0,0,13.03,25.32617037605526
167,cardiff university,history,2,30,70,0,0,14.4,22.916666666666668
168,cardiff university,philosophy,2,70,30,0,0,10.0,37.0
169,cardiff university,earth systems and environmental sciences,2,10,50,40,0,14.99,18.01200800533689
170,cardiff university,"music, drama, dance and performing arts",2,30,70,0,0,13.2,25.0
171,cardiff university,computer science and informatics,2,60,30,10,0,13.73,25.491624180626363
172,cardiff university,modern languages and linguistics,2,100,0,0,0,14.8,27.027027027027025
173,cardiff university,chemistry,2,50,50,0,0,23.0,15.217391304347826
174,cardiff university,"communication, cultural and media studies, library and information management",2,100,0,0,0,13.4,29.850746268656717
175,cardiff university school of engineering,general engineering,4,,,,,,
176,cardiff university school of engineering,civil and construction engineering,2,,,,,,
177,city university london,business and management studies,9,60,26.7,13.3,0,78.29,4.428407203985183
178,city university london,"allied health professions, dentistry, nursing and pharmacy",8,55,45,0,0,67.6,5.2514792899408285
179,city university london,general engineering,6,13.3,66.7,20,0,53.6,5.472014925373134
180,city university london,"psychology, psychiatry and neuroscience",4,20,40,40,0,28.0,10.0
181,city university london,computer science and informatics,4,40,50,10,0,32.0,10.3125
182,city university london,law,3,0,73.3,26.7,0,20.5,13.33170731707317
183,city university london,"communication, cultural and media studies, library and information management",3,53.3,46.7,0,0,24.6,14.361788617886178
184,city university london,sociology,3,26.7,73.3,0,0,21.6,15.124999999999998
185,city university london,mathematical sciences,3,40,40,20,0,16.05,19.937694704049843
186,city university london,politics and international studies,2,0,80,20,0,13.2,21.212121212121215
187,city university london,"music, drama, dance and performing arts",2,40,60,0,0,9.2,36.95652173913044
188,city university london,economics and econometrics,2,20,30,10,0,13.7,13.868613138686133
189,courtauld institute of art,"art and design: history, practice and theory",4,40,60,0,0,32.5,10.461538461538462
190,coventry university,"art and design: history, practice and theory",4,70,30,0,0,34.45,10.74020319303338
191,coventry university,politics and international studies,3,0,86.7,13.3,0,18.7,15.33155080213904
192,coventry university,"allied health professions, dentistry, nursing and pharmacy",3,13.3,76.7,10,0,17.6,17.232954545454543
193,coventry university,business and management studies,3,40,60,0,0,17.0,20.0
194,coventry university,"psychology, psychiatry and neuroscience",2,60,40,0,0,14.0,25.714285714285715
195,coventry university,earth systems and environmental sciences,2,0,70,30,0,10.4,25.96153846153846
196,coventry university,general engineering,2,0,36.7,63.3,0,18.7,12.657754010695188
197,coventry university,computer science and informatics,2,10,90,0,0,13.0,23.846153846153847
198,coventry university,mathematical sciences,1,0,80,20,0,9.0,31.11111111111111
199,de montfort university,"allied health professions, dentistry, nursing and pharmacy",4,40,30,30,0,31.4,9.872611464968154
200,de montfort university,general engineering,2,0,36.7,50,13.3,24.7,9.044534412955468
201,de montfort university,law,2,0,40,40,20,9.4,23.404255319148934
202,de montfort university,social work and social policy,2,53.3,20,26.7,0,20.1,16.24875621890547
203,de montfort university,"communication, cultural and media studies, library and information management",1,0,100,0,0,10.8,27.777777777777775
204,de montfort university,"music, drama, dance and performing arts",1,10,90,0,0,13.0,23.846153846153847
205,de montfort university,computer science and informatics,1,0,66.7,33.3,0,24.7,10.797570850202431
206,de montfort university,business and management studies,1,50,23.3,26.7,0,21.7,14.898617511520735
207,de montfort university,english language and literature,1,40,60,0,0,13.2,25.757575757575758
208,durham,chemistry,1,,,,,,
209,durham,anthropology and development studies,1,,,,,,
210,durham university,"geography, environmental studies and archaeology",10,,,,,,
211,durham university,business and management studies,5,,,,,,
212,durham university,biological sciences,4,,,,,,
213,durham university,general engineering,4,,,,,,
214,durham university,chemistry,4,,,,,,
215,durham university,earth systems and environmental sciences,4,,,,,,
216,durham university,history,4,,,,,,
217,durham university,modern languages and linguistics,4,,,,,,
218,durham university,english language and literature,4,,,,,,
219,durham university,social work and social policy,3,,,,,,
220,durham university,"psychology, psychiatry and neuroscience",3,,,,,,
221,durham university,philosophy,3,,,,,,
222,durham university,politics and international studies,3,,,,,,
223,durham university,theology and religious studies,3,,,,,,
224,durham university,law,3,,,,,,
225,durham university,"music, drama, dance and performing arts",2,,,,,,
226,durham university,computer science and informatics,2,,,,,,
227,durham university,anthropology and development studies,2,,,,,,
228,durham university,classics,2,,,,,,
229,durham university,education,2,,,,,,
230,eastchem,chemistry,7,,,,,,
231,edge hill university,social work and social policy,3,0,26.7,10,36.6,17.0,8.041176470588235
232,edge hill university,"psychology, psychiatry and neuroscience",2,0,40,60,0,12.2,19.672131147540984
233,edge hill university,"communication, cultural and media studies, library and information management",2,20,20,20,0,12.3,14.634146341463413
234,edge hill university,history,2,20,40,40,0,6.8,41.1764705882353
235,edge hill university,"geography, environmental studies and archaeology",2,0,40,10,50,9.0,21.11111111111111
236,edge hill university,law,2,0,100,0,0,14.0,21.428571428571427
237,edge hill university,"allied health professions, dentistry, nursing and pharmacy",2,20,60,20,0,11.1,27.027027027027028
238,edge hill university,"sport and exercise sciences, leisure and tourism",2,40,20,40,0,14.0,21.428571428571427
239,edge hill university,"music, drama, dance and performing arts",2,0,40,20,0,11.5,13.91304347826087
240,edge hill university,computer science and informatics,2,0,10,50,0,5.0,26.0
241,edge hill university,english language and literature,2,0,20,40,40,13.9,12.949640287769784
242,edge hill university,education,2,40,20,40,0,11.7,25.641025641025642
243,edinburgh napier university,"allied health professions, dentistry, nursing and pharmacy",3,0,26.7,73.3,0,22.2,10.211711711711711
244,edinburgh napier university,earth systems and environmental sciences,2,20,80,0,0,6.0,53.333333333333336
245,edinburgh napier university,business and management studies,2,10,30,60,0,10.4,24.038461538461537
246,edinburgh napier university,"communication, cultural and media studies, library and information management",2,0,50,50,0,7.6,32.89473684210527
247,edinburgh napier university,civil and construction engineering,2,0,40,20,0,14.0,11.428571428571429
248,edinburgh napier university,computer science and informatics,2,0,90,10,0,10.7,27.10280373831776
249,edinburgh napier university,"electrical and electronic engineering, metallurgy and materials",2,0,80,20,0,10.3,27.184466019417474
250,edinburgh napier university,"architecture, built environment and planning",2,40,20,0,40,7.9,32.91139240506329
251,edinburgh napier university,english language and literature,2,40,30,30,0,9.8,31.632653061224488
252,edinburgh research partnership in engineering erpe,general engineering,17,,,,,,
253,falmouth university,"music, drama, dance and performing arts",4,30,20,30,0,26.1,9.195402298850574
254,falmouth university,"art and design: history, practice and theory",3,0,10,90,0,24.29,8.645533141210375
255,glasgow caledonian university,"allied health professions, dentistry, nursing and pharmacy",5,48,52,0,0,44.3,7.855530474040632
256,glasgow caledonian university,general engineering,3,0,13.3,86.7,0,21.0,10.157142857142858
257,glasgow caledonian university,computer science and informatics,2,0,30,30,40,13.0,14.615384615384615
258,glasgow caledonian university,history,1,0,80,20,0,6.2,45.16129032258064
259,glasgow school of art,"art and design: history, practice and theory",6,30,50,20,0,52.8,5.871212121212121
260,glynd r university,"communication, cultural and media studies, library and information management",2,,,,,,
261,glynd r university,computer science and informatics,2,,,,,,
262,glynd r university,"electrical and electronic engineering, metallurgy and materials",2,,,,,,
263,glynd r university,"psychology, psychiatry and neuroscience",2,,,,,,
264,goldsmiths,"psychology, psychiatry and neuroscience",1,,,,,,
265,goldsmiths university of london,"music, drama, dance and performing arts",4,,,,,,
266,goldsmiths university of london,"art and design: history, practice and theory",4,,,,,,
267,goldsmiths university of london,sociology,4,,,,,,
268,goldsmiths university of london,"communication, cultural and media studies, library and information management",3,,,,,,
269,goldsmiths university of london,"psychology, psychiatry and neuroscience",3,,,,,,
270,goldsmiths university of london,computer science and informatics,3,,,,,,
271,goldsmiths university of london,english language and literature,3,,,,,,
272,goldsmiths university of london,history,2,,,,,,
273,goldsmiths university of london,anthropology and development studies,2,,,,,,
274,goldsmiths university of london,politics and international studies,2,,,,,,
275,goldsmiths university of london,social work and social policy,2,,,,,,
276,goldsmiths university of london,education,2,,,,,,
277,guildhall school of music drama,"music, drama, dance and performing arts",2,,,,,,
278,harper adams university,"agriculture, veterinary and food science",3,26.7,23.3,50,0,17.0,16.276470588235295
279,heriot watt university,chemistry,4,,,,,,
280,heriot watt university,earth systems and environmental sciences,1,,,,,,
281,heriot watt university,computer science and informatics,1,,,,,,
282,heriot watt university,modern languages and linguistics,1,,,,,,
283,heriotwatt university,business and management studies,5,,,,,,
284,heriotwatt university,computer science and informatics,3,,,,,,
285,heriotwatt university,earth systems and environmental sciences,2,,,,,,
286,heriotwatt university,"agriculture, veterinary and food science",2,,,,,,
287,heriotwatt university,"psychology, psychiatry and neuroscience",2,,,,,,
288,heriotwatt university,modern languages and linguistics,1,,,,,,
289,heriotwatt university,"art and design: history, practice and theory",1,,,,,,
290,heythrop college,theology and religious studies,1,40,60,0,0,15.8,21.51898734177215
291,heythrop college university of london,theology and religious studies,2,,,,,,
292,imperial college london,clinical medicine,34,94.1,5.9,0,0,334.18,1.1793045664013404
293,imperial college london,"aeronautical, mechanical, chemical and manufacturing engineering",18,75.6,20,2.2,2.2,172.8,2.135416666666666
294,imperial college london,physics,12,47.7,43.1,9.2,0,117.49,2.8810962635117883
295,imperial college london,biological sciences,11,53.6,39.1,7.3,0,99.55,3.4786539427423415
296,imperial college london,"electrical and electronic engineering, metallurgy and materials",10,100,0,0,0,44.2,9.049773755656108
297,imperial college london,"electrical and electronic engineering, metallurgy and materials",10,60,40,0,0,37.0,9.72972972972973
298,imperial college london,mathematical sciences,9,56.4,40,3.6,0,100.31,3.5170969993021632
299,imperial college london,business and management studies,7,22.9,71.4,5.7,0,57.95,5.473684210526315
300,imperial college london,civil and construction engineering,7,65.7,34.3,0,0,56.6,6.46113074204947
301,imperial college london,chemistry,6,46.7,53.3,0,0,54.9,6.31511839708561
302,imperial college london,"public health, health services and primary care",6,83.3,16.7,0,0,54.6,7.020146520146519
303,imperial college london,computer science and informatics,6,73.3,26.7,0,0,49.45,7.549039433771485
304,imperial college london,"psychology, psychiatry and neuroscience",5,84,16,0,0,44.33,8.662305436498984
305,imperial college london,general engineering,4,70,20,10,0,33.5,10.746268656716419
306,institute of cancer research,clinical medicine,7,90,10,0,0,69.09,5.6448111159357355
307,institute of cancer research,biological sciences,4,80,20,0,0,34.0,11.176470588235293
308,institute of education,education,23,,,,,,
309,institute of zoology,earth systems and environmental sciences,3,63.3,36.7,0,0,20.9,17.382775119617225
310,institution of cancer research,clinical medicine,1,,,,,,
311,keele university,"allied health professions, dentistry, nursing and pharmacy",5,76,24,0,0,43.98,8.549340609367896
312,keele university,social work and social policy,4,20,60,20,0,30.1,9.966777408637872
313,keele university,general engineering,4,20,50,30,0,34.45,8.41799709724238
314,keele university,business and management studies,3,0,36.7,50,13.3,18.3,12.207650273224045
315,keele university,law,3,53.3,10,36.7,0,18.0,17.58888888888889
316,keele university,english language and literature,2,0,80,20,0,13.9,20.14388489208633
317,keele university,philosophy,2,80,20,0,0,4.0,95.0
318,keele university,politics and international studies,2,70,30,0,0,13.7,27.007299270072995
319,keele university,earth systems and environmental sciences,2,0,80,20,0,10.2,27.450980392156865
320,keele university,history,2,0,100,0,0,12.7,23.62204724409449
321,keele university,physics,2,0,40,10,10,10.5,14.285714285714286
322,keele university,computer science and informatics,2,0,40,40,20,5.0,44.0
323,keele university,"music, drama, dance and performing arts",2,40,20,40,0,8.0,37.5
324,keele university,biological sciences,2,40,20,40,0,12.4,24.193548387096772
325,keele university,"psychology, psychiatry and neuroscience",2,40,20,40,0,14.5,20.689655172413794
326,keele university,"public health, health services and primary care",2,90,10,0,0,9.2,42.39130434782609
327,keele university,mathematical sciences,2,0,50,30,20,8.0,28.75
328,kent,biological sciences,1,,,,,,
329,king s college london,"psychology, psychiatry and neuroscience",24,,,,,,
330,king s college london,"allied health professions, dentistry, nursing and pharmacy",20,,,,,,
331,king s college london,clinical medicine,16,,,,,,
332,king s college london,biological sciences,8,,,,,,
333,king s college london,business and management studies,5,,,,,,
334,king s college london,english language and literature,5,,,,,,
335,king s college london,general engineering,5,,,,,,
336,king s college london,education,5,,,,,,
337,king s college london,politics and international studies,5,,,,,,
338,king s college london,history,5,,,,,,
339,king s college london,"music, drama, dance and performing arts",5,,,,,,
340,king s college london,modern languages and linguistics,5,,,,,,
341,king s college london,computer science and informatics,4,,,,,,
342,king s college london,"communication, cultural and media studies, library and information management",4,,,,,,
343,king s college london,"geography, environmental studies and archaeology",4,,,,,,
344,king s college london,classics,4,,,,,,
345,king s college london,theology and religious studies,4,,,,,,
346,king s college london,law,4,,,,,,
347,king s college london,physics,4,,,,,,
348,king s college london,mathematical sciences,4,,,,,,
349,king s college london,philosophy,3,,,,,,
350,king s college london,"public health, health services and primary care",3,,,,,,
351,king s college london,"sport and exercise sciences, leisure and tourism",2,,,,,,
352,kingston university,business and management studies,3,23.3,63.4,13.3,0,24.9,12.449799196787149
353,kingston university,"allied health professions, dentistry, nursing and pharmacy",3,0,76.7,23.3,0,17.22,16.068524970964
354,kingston university,"art and design: history, practice and theory",3,10,36.7,53.3,0,23.5,10.92340425531915
355,kingston university,english language and literature,3,100,0,0,0,22.6,17.699115044247787
356,kingston university,"geography, environmental studies and archaeology",2,0,40,60,0,10.0,24.0
357,kingston university,philosophy,2,30,30,40,0,6.2,46.774193548387096
358,kingston university,"psychology, psychiatry and neuroscience",2,0,40,60,0,10.0,24.0
359,kingston university,computer science and informatics,2,20,40,40,0,10.2,27.450980392156865
360,kingston university,general engineering,2,0,30,50,20,14.0,15.0
361,lancaster,history,1,,,,,,
362,lancaster university,business and management studies,12,47.7,36.9,15.4,0,122.38,2.7153129596339274
363,lancaster university,"allied health professions, dentistry, nursing and pharmacy",7,34.3,60,5.7,0,64.4,5.102484472049689
364,lancaster university,english language and literature,6,66.7,33.3,0,0,52.97,6.922786482914858
365,lancaster university,earth systems and environmental sciences,5,68,32,0,0,44.9,8.195991091314031
366,lancaster university,law,4,20,80,0,0,29.8,10.738255033557047
367,lancaster university,computer science and informatics,4,50,50,0,0,33.0,10.606060606060606
368,lancaster university,"art and design: history, practice and theory",3,30,60,10,0,32.2,9.937888198757763
369,lancaster university,theology and religious studies,3,86.7,13.3,0,0,22.33,17.31751007613077
370,lancaster university,sociology,3,80,20,0,0,28.75,13.217391304347826
371,lancaster university,mathematical sciences,3,76.7,23.3,0,0,24.9,15.128514056224903
372,lancaster university,history,2,36.7,63.3,0,0,19.54,17.231320368474922
373,lancaster university,physics,2,10,70,20,0,34.95,8.297567954220314
374,lancaster university,chemistry,2,20,80,0,0,12.0,26.666666666666668
375,lancaster university,general engineering,2,36.7,63.3,0,0,24.98,13.478783026421135
376,lancaster university,"psychology, psychiatry and neuroscience",1,53.3,20,26.7,0,21.7,15.05069124423963
377,leeds metropolitan university,"sport and exercise sciences, leisure and tourism",6,,,,,,
378,leeds metropolitan university,"communication, cultural and media studies, library and information management",4,,,,,,
379,leeds metropolitan university,"public health, health services and primary care",3,,,,,,
380,leeds metropolitan university,"architecture, built environment and planning",3,,,,,,
381,leeds metropolitan university,business and management studies,3,,,,,,
382,leeds metropolitan university,computer science and informatics,2,,,,,,
383,leeds metropolitan university,education,2,,,,,,
384,leeds metropolitan university,"psychology, psychiatry and neuroscience",2,,,,,,
385,leeds metropolitan university,social work and social policy,2,,,,,,
386,leeds metropolitan university,"art and design: history, practice and theory",2,,,,,,
387,leeds metropolitan university,"music, drama, dance and performing arts",1,,,,,,
388,leeds metropolitan university school of film music and performing arts,"music, drama, dance and performing arts",1,,,,,,
389,leeds trinity university,history,2,0,40,60,0,4.0,60.0
390,leeds trinity university,"communication, cultural and media studies, library and information management",2,0,0,0,10,4.1,2.439024390243903
391,leeds trinity university,"sport and exercise sciences, leisure and tourism",2,-,-,-,-,3.0,0.0
392,leeds trinity university,theology and religious studies,2,0,40,20,40,3.5,57.142857142857146
393,leeds trinity university,english language and literature,2,0,0,70,30,5.5,30.90909090909091
394,liverpool hope university,"music, drama, dance and performing arts",4,10,90,0,0,7.75,40.0
